Date,gm_cap,tesla_cap
2012-10-04,33.15893894051912,3.1458
2012-10-05,33.36071747362474,3.09123
2012-10-08,33.05132372286258,3.12975
2012-10-09,32.78228567871966,3.03559
2012-10-10,32.59395904781993,3.0388
2012-10-11,33.172390842725015,3.03024
2012-10-12,32.87644899416874,2.95748
2012-10-15,32.93025660299858,2.92431
2012-10-16,33.34726557141885,3.00242
2012-10-17,33.71046693100928,3.0836437
2012-10-18,34.383062041365015,3.00028
2012-10-19,33.07822752727593,2.96818
2012-10-22,33.11858323389674,2.97995
2012-10-23,32.10969056836393,3.03773
2012-10-24,31.867556328635928,2.93394
2012-10-25,31.78684491539431,2.94464
2012-10-26,31.31602833814577,2.92966
2012-10-31,34.30235062812339,3.0100598
2012-11-01,34.54448486785139,3.1292578
2012-11-02,34.69245579212874,3.0942474
2012-11-05,34.39651394357247,3.3705
2012-11-06,35.23053188041301,3.33305
2012-11-07,33.67011122438847,3.37478
2012-11-08,33.2531022559682,3.35017
2012-11-09,33.683563126595935,3.24424
2012-11-12,33.9795049751522,3.32449
2012-11-13,33.38762127803966,3.3827301
2012-11-14,32.51324763457831,3.35766
2012-11-15,32.12314247057139,3.29774
2012-11-16,32.08278676395058,3.4068693
2012-11-19,33.53559220231701,3.52244
2012-11-20,33.091679429483385,3.531
2012-11-21,33.091679429483385,3.47429
2012-11-23,33.912245464116474,3.4379100000000005
2012-11-26,33.93914926853139,3.4528900000000005
2012-11-27,33.64320741997512,3.44005
2012-11-28,34.006408779567124,3.5556099999999997
2012-11-29,35.09601285834155,3.6048299999999993
2012-11-30,34.813522911992735,3.61874
2012-12-03,34.31580253032928,3.7043399999999997
2012-12-04,34.18128350825939,3.6273
2012-12-05,33.62975551776766,3.60697
2012-12-06,33.05132372286258,3.6273
2012-12-07,33.885341659703116,3.65619
2012-12-10,34.006408779567124,3.69899
2012-12-11,34.235091117087656,3.77496
2012-12-12,34.47722535681566,3.77282
2012-12-13,33.791178344252465,3.59627
2012-12-14,33.10513133169085,3.6176700000000004
2012-12-17,33.42797698466047,3.6808
2012-12-18,34.28889872591593,3.7011300000000005
2012-12-19,36.562270198917005,3.70327
2012-12-20,36.77750063423009,3.68401
2012-12-21,36.75059682981674,3.638
2012-12-24,37.20796150485782,3.66796
2012-12-26,37.15415389602955,3.5941300000000003
